uid,name,address,discord_handle,option,weight,time
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,Hal#2050,Yes,1,2023-06-02 04:54:59
30355,HotWolf,0xf3bf6bdfea27464840d53b07c33ea21c951d3746,HotWolf#3778,Yes,1,2023-06-02 11:57:24
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,Yes,1,2023-06-02 12:31:46
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,Coffee#7382,Yes,1,2023-06-02 12:39:22
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,VincentZZH#3925,Yes,1,2023-06-02 13:01:10
7270,baiyu,0x8c913aec7443fe2018639133398955e0e17fb0c1,baiyu ( SeeDAO Network )#2918,Yes,1,2023-06-02 13:05:26
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,shawn#7046,No,1,2023-06-02 13:11:51
35079,DianeCheung,0xa43f37e80f98a3a4c886ba862adc8bdbce40142b,Simba#2118,Yes,1,2023-06-02 13:14:43
34459,jackfe,0x9fbde1512d2aeb2000866fa6f8a01e6bc80559e0,,Yes,1,2023-06-02 13:16:48
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,fatfingererr#0697,Yes,1,2023-06-02 13:21:51
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,舟舟 tovarishch.eth#1910,Yes,1,2023-06-02 13:37:16
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis1997#0154,No,1,2023-06-02 13:54:59
26649,Nicodemus,0xf62aadadf80f0cee151af3851a9b3866255c6cd4,Nicodemus#0333,Yes,1,2023-06-02 13:56:59
34713,一个阿车,0x796ac058028f19974a4f8256f6b30fedcc96537d,阿车#4692,Yes,1,2023-06-02 13:59:47
34660,GGGrace,0x4d6654beec5942aee8e3102528a58fb34a0f1b19,Grace#7358,Yes,1,2023-06-02 14:25:27
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,sirs#8914,Yes,1,2023-06-02 14:25:54
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,Queeny#4247,Yes,1,2023-06-02 15:11:56
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,栗子#8207,Yes,1,2023-06-02 15:18:27
32801,DemianSeeDAO,0x65d5b68a7878a987e7a19826a7f9aa6f5f92e10f,Demian#2778,No,1,2023-06-02 15:21:41
27779,Thomas.dh,0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,定慧 Thomas#3288,No,1,2023-06-02 20:02:07
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,Owen zhang#5158,Yes,1,2023-06-03 05:53:03
26408,lee.W,0xe02533f1b8bc4befd8561df63721a96936f978f9,lee0428#9835,No,1,2023-06-03 11:46:28
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,Fivea#9602,Yes,1,2023-06-03 12:41:38
33081,PhilHuang,0xd8652a853f4ac24c797faa02e4633bd69ac9394d,Phil.Huang#9473,Yes,1,2023-06-04 04:38:18
33694,Hsiu,0x4ffb83a8344f33453fbebe5e126534407ceb32f5,JasonHsiu#6219,No,1,2023-06-04 09:14:00
34967,neal,0x726d714b8b6e10b6e25dd7926c92656046d9861d,NEAL#1476,Yes,1,2023-06-04 11:47:00
36602,江滚滚,0xfed714ab05fbbc6f964653616c0565033a4da0ef,,Yes,1,2023-06-04 11:54:53
34133,wa1t0n,0x6bd68d667eccea663b2a2bee1311f7ad6c817602,wa1t0n#2571,Yes,1,2023-06-04 11:59:01
35019,Jialin,0x290aa5081d6298c181949946893876a1b76bf144,Jialin#7903,Yes,1,2023-06-04 13:48:23
31036,huuu,0x8817e259b93256bbb86de6cd2e9b8612763cc674,Usopp#2531,Yes,1,2023-06-04 14:57:13
31713,SuanNai,0xb8abe31a6caf1217d632190559b2c1fd909178ec,SuanNai#5420,No,1,2023-06-04 17:08:46
