uid,name,address,discord_handle,option,weight,time
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis,120%,1,2023-08-20 23:37:43
32801,DemianSeeDAO,0x65d5b68a7878a987e7a19826a7f9aa6f5f92e10f,demian2778,100%,1,2023-08-21 00:28:57
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,owenzhang,120%,1,2023-08-21 02:44:20
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,shot86,120%,1,2023-08-21 02:52:14
26408,lee.W,0xe02533f1b8bc4befd8561df63721a96936f978f9,lee0428,120%,1,2023-08-21 03:19:05
35019,Jialin,0x290aa5081d6298c181949946893876a1b76bf144,0xcjl.eth,120%,1,2023-08-21 03:48:46
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049,100%,1,2023-08-21 04:01:14
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,laowaipo,100%,1,2023-08-21 05:52:36
34713,一个阿车,0x796ac058028f19974a4f8256f6b30fedcc96537d,roujiamo.eth,120%,1,2023-08-21 05:55:00
34518,saku,0x45b5e0299401f38d7d18bdde102ae62cdff86429,sakusaku5627,120%,1,2023-08-21 05:59:50
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,tovarishch.eth,120%,1,2023-08-21 06:00:00
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,fatfingererr,120%,1,2023-08-21 06:02:19
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,coffee9999,120%,1,2023-08-21 06:04:41
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alexgiantwhale,100%,1,2023-08-21 06:18:21
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,shawn7046,120%,1,2023-08-21 06:25:28
31713,SuanNai,0xb8abe31a6caf1217d632190559b2c1fd909178ec,hebucc,100%,1,2023-08-21 06:42:15
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,vincentzzh,120%,1,2023-08-21 07:51:38
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,fivea.eth,120%,1,2023-08-21 08:22:21
30355,HotWolf,0xf3bf6bdfea27464840d53b07c33ea21c951d3746,hotwolf3778,100%,1,2023-08-21 14:40:29
34133,wa1t0n,0x6bd68d667eccea663b2a2bee1311f7ad6c817602,wa1t0n#2571,100%,1,2023-08-22 07:48:12
34967,neal,0x726d714b8b6e10b6e25dd7926c92656046d9861d,NEAL#1476,120%,1,2023-08-22 12:15:28
