uid,name,address,discord_handle,option,weight,time
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,vincentzzh,Yes (同意),1,2023-08-21 16:40:00
26408,lee.W,0xe02533f1b8bc4befd8561df63721a96936f978f9,lee0428,No (不同意),1,2023-08-22 04:04:34
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,coffee9999,Yes (同意),1,2023-08-22 05:42:16
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,fivea.eth,Yes (同意),1,2023-08-22 06:00:59
35019,Jialin,0x290aa5081d6298c181949946893876a1b76bf144,0xcjl.eth,Yes (同意),1,2023-08-22 06:04:58
34518,saku,0x45b5e0299401f38d7d18bdde102ae62cdff86429,sakusaku5627,Yes (同意),1,2023-08-22 06:24:15
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,shot86,Yes (同意),1,2023-08-22 06:26:03
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,owenzhang,Yes (同意),1,2023-08-22 06:33:12
36602,江滚滚,0xfed714ab05fbbc6f964653616c0565033a4da0ef,,Yes (同意),1,2023-08-22 06:37:58
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,laowaipo,Yes (同意),1,2023-08-22 06:41:36
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alexgiantwhale,Yes (同意),1,2023-08-22 06:48:21
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,tovarishch.eth,Yes (同意),1,2023-08-22 07:05:17
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049,Yes (同意),1,2023-08-22 07:35:04
34133,wa1t0n,0x6bd68d667eccea663b2a2bee1311f7ad6c817602,wa1t0n#2571,Yes (同意),1,2023-08-22 07:47:51
34713,一个阿车,0x796ac058028f19974a4f8256f6b30fedcc96537d,roujiamo.eth,Yes (同意),1,2023-08-22 08:50:10
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,fatfingererr,Yes (同意),1,2023-08-22 10:16:02
30355,HotWolf,0xf3bf6bdfea27464840d53b07c33ea21c951d3746,hotwolf3778,Yes (同意),1,2023-08-22 10:17:12
34967,neal,0x726d714b8b6e10b6e25dd7926c92656046d9861d,NEAL#1476,Yes (同意),1,2023-08-22 12:11:23
