uid,name,address,discord_handle,option,weight,time
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049,120%,1,2023-08-31 02:12:32
36651,康师傅,0x4ed2f7eadd13cdc339b67f371610bf26224e4b98,jamk,120%,1,2023-08-31 11:23:42
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,shawn7046,80%,1,2023-09-01 22:06:31
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,owenzhang,100%,1,2023-09-02 02:43:31
30355,HotWolf,0xf3bf6bdfea27464840d53b07c33ea21c951d3746,hotwolf3778,100%,1,2023-09-02 06:00:20
35098,木南Lynna,0x7d53ba1d70a66d572a90e3e80ad4253769340ee7,munan_lynna,100%,1,2023-09-02 07:38:56
34967,neal,0x726d714b8b6e10b6e25dd7926c92656046d9861d,NEAL#1476,120%,1,2023-09-02 08:12:35
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,shot86,100%,1,2023-09-02 08:27:33
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,tovarishch.eth,100%,1,2023-09-02 09:13:47
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,fatfingererr,100%,1,2023-09-02 09:55:15
33081,PhilHuang,0xd8652a853f4ac24c797faa02e4633bd69ac9394d,Phil.Huang#9473,120%,1,2023-09-02 10:17:33
34518,saku,0x45b5e0299401f38d7d18bdde102ae62cdff86429,sakusaku5627,100%,1,2023-09-02 14:41:44
34133,wa1t0n,0x6bd68d667eccea663b2a2bee1311f7ad6c817602,wa1t0n#2571,100%,1,2023-09-03 03:57:05
35748,Ines,0x18e0ff7c3a14cd4d7acbfad41016edf20257a02a,,100%,1,2023-09-03 06:08:58
7272,slothrun,0x78f625a65fc316d32d98d249b698fb509a6d98f2,Tang Han#8245,80%,1,2023-09-03 07:05:53
31713,SuanNai,0xb8abe31a6caf1217d632190559b2c1fd909178ec,hebucc,120%,1,2023-09-03 07:17:02
35566,littleone,0x913d7434a18f0ef40181b92a9603e0425ab0addf,xiaokong1,80%,1,2023-09-03 08:12:05
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,coffee9999,80%,1,2023-09-03 14:08:33
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,vincentzzh,80%,1,2023-09-03 14:09:17
39173,StephanAnn,0x4564d5a8bb409272f1fb4ae4c8b45fc0eafd709d,fooooobar,100%,1,2023-09-03 16:26:11
