uid,name,address,discord_handle,option,weight,time
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,shot86,30%,1,2023-09-01 12:07:55
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,shawn7046,30%,1,2023-09-01 14:20:07
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,vincentzzh,80%,1,2023-09-01 16:58:16
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,coffee9999,80%,1,2023-09-01 18:43:43
39169,Frozen,0x82944b68bb92fa11764041aa61204b5fdc85f429,frozen#0085,80%,1,2023-09-01 18:52:28
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,owenzhang,80%,1,2023-09-02 02:34:14
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049,80%,1,2023-09-02 02:37:34
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth,30%,1,2023-09-02 03:09:52
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,fivea.eth,80%,1,2023-09-02 03:13:50
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alexgiantwhale,100%,1,2023-09-02 04:11:31
30355,HotWolf,0xf3bf6bdfea27464840d53b07c33ea21c951d3746,hotwolf3778,80%,1,2023-09-02 06:07:48
35098,木南Lynna,0x7d53ba1d70a66d572a90e3e80ad4253769340ee7,munan_lynna,100%,1,2023-09-02 07:09:51
34967,neal,0x726d714b8b6e10b6e25dd7926c92656046d9861d,NEAL#1476,80%,1,2023-09-02 08:17:35
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,fatfingererr,80%,1,2023-09-02 09:57:34
36651,康师傅,0x4ed2f7eadd13cdc339b67f371610bf26224e4b98,jamk,80%,1,2023-09-02 10:34:55
7270,baiyu,0x8c913aec7443fe2018639133398955e0e17fb0c1,baiyu ( SeeDAO Network )#2918,80%,1,2023-09-02 11:04:36
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,laowaipo,80%,1,2023-09-02 11:38:35
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,queeny4247,30%,1,2023-09-02 13:01:05
35019,Jialin,0x290aa5081d6298c181949946893876a1b76bf144,0xcjl.eth,80%,1,2023-09-02 14:17:02
34518,saku,0x45b5e0299401f38d7d18bdde102ae62cdff86429,sakusaku5627,80%,1,2023-09-02 14:39:29
33081,PhilHuang,0xd8652a853f4ac24c797faa02e4633bd69ac9394d,Phil.Huang#9473,80%,1,2023-09-02 15:09:27
27815,backdoor,0x0c05aacc260d5ebfccdd9b06ab3633120cbe9676,backdoor3076,80%,1,2023-09-03 00:28:47
34133,wa1t0n,0x6bd68d667eccea663b2a2bee1311f7ad6c817602,wa1t0n#2571,80%,1,2023-09-03 03:54:53
34713,一个阿车,0x796ac058028f19974a4f8256f6b30fedcc96537d,roujiamo.eth,30%,1,2023-09-03 05:17:32
34660,GGGrace,0x4d6654beec5942aee8e3102528a58fb34a0f1b19,gracegui43,80%,1,2023-09-03 06:37:04
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,tovarishch.eth,80%,1,2023-09-03 06:42:23
31713,SuanNai,0xb8abe31a6caf1217d632190559b2c1fd909178ec,hebucc,100%,1,2023-09-03 07:19:41
36669,youngSeeDAO,0x3e2141d27c11da046e443c53441ed53b390cb15a,young.y,100%,1,2023-09-03 10:07:41
39173,StephanAnn,0x4564d5a8bb409272f1fb4ae4c8b45fc0eafd709d,fooooobar,80%,1,2023-09-03 16:29:53
