uid,name,address,discord_handle,option,weight,time
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,shot86,100%,1,2023-09-01 12:07:46
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,shawn7046,100%,1,2023-09-01 14:19:56
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,vincentzzh,120%,1,2023-09-01 16:58:00
39169,Frozen,0x82944b68bb92fa11764041aa61204b5fdc85f429,frozen#0085,120%,1,2023-09-01 18:52:16
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,owenzhang,100%,1,2023-09-02 02:33:51
7272,slothrun,0x78f625a65fc316d32d98d249b698fb509a6d98f2,Tang Han#8245,100%,1,2023-09-02 02:34:02
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049,120%,1,2023-09-02 02:37:22
34713,一个阿车,0x796ac058028f19974a4f8256f6b30fedcc96537d,roujiamo.eth,120%,1,2023-09-02 02:52:37
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,fivea.eth,120%,1,2023-09-02 03:13:39
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alexgiantwhale,100%,1,2023-09-02 04:02:29
30355,HotWolf,0xf3bf6bdfea27464840d53b07c33ea21c951d3746,hotwolf3778,120%,1,2023-09-02 06:07:52
35098,木南Lynna,0x7d53ba1d70a66d572a90e3e80ad4253769340ee7,munan_lynna,120%,1,2023-09-02 07:09:32
34967,neal,0x726d714b8b6e10b6e25dd7926c92656046d9861d,NEAL#1476,80%,1,2023-09-02 08:17:14
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,fatfingererr,100%,1,2023-09-02 09:57:19
36651,康师傅,0x4ed2f7eadd13cdc339b67f371610bf26224e4b98,jamk,120%,1,2023-09-02 10:13:23
7270,baiyu,0x8c913aec7443fe2018639133398955e0e17fb0c1,baiyu ( SeeDAO Network )#2918,120%,1,2023-09-02 11:03:59
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,laowaipo,100%,1,2023-09-02 11:38:40
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,queeny4247,80%,1,2023-09-02 12:59:46
35019,Jialin,0x290aa5081d6298c181949946893876a1b76bf144,0xcjl.eth,120%,1,2023-09-02 14:16:38
34518,saku,0x45b5e0299401f38d7d18bdde102ae62cdff86429,sakusaku5627,120%,1,2023-09-02 14:38:53
33081,PhilHuang,0xd8652a853f4ac24c797faa02e4633bd69ac9394d,Phil.Huang#9473,80%,1,2023-09-02 15:09:42
27815,backdoor,0x0c05aacc260d5ebfccdd9b06ab3633120cbe9676,backdoor3076,120%,1,2023-09-03 00:27:58
34133,wa1t0n,0x6bd68d667eccea663b2a2bee1311f7ad6c817602,wa1t0n#2571,100%,1,2023-09-03 03:54:42
34660,GGGrace,0x4d6654beec5942aee8e3102528a58fb34a0f1b19,gracegui43,120%,1,2023-09-03 06:35:48
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,tovarishch.eth,120%,1,2023-09-03 06:42:00
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,coffee9999,100%,1,2023-09-03 07:00:53
31713,SuanNai,0xb8abe31a6caf1217d632190559b2c1fd909178ec,hebucc,120%,1,2023-09-03 07:19:30
36669,youngSeeDAO,0x3e2141d27c11da046e443c53441ed53b390cb15a,young.y,100%,1,2023-09-03 09:59:34
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth,100%,1,2023-09-03 13:19:40
39173,StephanAnn,0x4564d5a8bb409272f1fb4ae4c8b45fc0eafd709d,fooooobar,100%,1,2023-09-03 16:29:57
