uid,name,address,discord_handle,option,weight,time
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,shot86,baiyu#2918,1,2023-09-01 12:09:27
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,shawn7046,baiyu#2918,1,2023-09-01 14:21:07
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,coffee9999,baiyu#2918,1,2023-09-01 18:48:12
7272,slothrun,0x78f625a65fc316d32d98d249b698fb509a6d98f2,Tang Han#8245,baiyu#2918,1,2023-09-02 02:35:49
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,owenzhang,baiyu#2918,1,2023-09-02 02:36:00
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049,baiyu#2918,1,2023-09-02 02:39:58
34713,一个阿车,0x796ac058028f19974a4f8256f6b30fedcc96537d,roujiamo.eth,签到票,1,2023-09-02 02:47:57
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,fivea.eth,baiyu#2918,1,2023-09-02 03:14:37
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alexgiantwhale,baiyu#2918,1,2023-09-02 04:01:42
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,vincentzzh,baiyu#2918,1,2023-09-02 04:12:55
30355,HotWolf,0xf3bf6bdfea27464840d53b07c33ea21c951d3746,hotwolf3778,baiyu#2918,1,2023-09-02 06:04:26
35098,木南Lynna,0x7d53ba1d70a66d572a90e3e80ad4253769340ee7,munan_lynna,baiyu#2918,1,2023-09-02 07:14:26
34967,neal,0x726d714b8b6e10b6e25dd7926c92656046d9861d,NEAL#1476,baiyu#2918,1,2023-09-02 08:20:42
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,fatfingererr,baiyu#2918,1,2023-09-02 09:58:19
7270,baiyu,0x8c913aec7443fe2018639133398955e0e17fb0c1,baiyu ( SeeDAO Network )#2918,baiyu#2918,1,2023-09-02 11:15:17
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,laowaipo,baiyu#2918,1,2023-09-02 11:41:32
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,queeny4247,baiyu#2918,1,2023-09-02 13:02:49
36602,江滚滚,0xfed714ab05fbbc6f964653616c0565033a4da0ef,,baiyu#2918,1,2023-09-02 14:03:55
34518,saku,0x45b5e0299401f38d7d18bdde102ae62cdff86429,sakusaku5627,baiyu#2918,1,2023-09-02 14:14:01
35019,Jialin,0x290aa5081d6298c181949946893876a1b76bf144,0xcjl.eth,baiyu#2918,1,2023-09-02 14:19:21
36619,T1NG,0x47a7202a726324788609003549675f1dbc645b07,t1ng8435,baiyu#2918,1,2023-09-02 15:00:05
33081,PhilHuang,0xd8652a853f4ac24c797faa02e4633bd69ac9394d,Phil.Huang#9473,baiyu#2918,1,2023-09-02 15:08:43
33694,Hsiu,0x4ffb83a8344f33453fbebe5e126534407ceb32f5,jasonhsiu,baiyu#2918,1,2023-09-02 15:41:33
34538,トゥン,0x0505e7fddf5a88a8a3743ac579cb6f33c181d4bb,006,baiyu#2918,1,2023-09-02 17:02:00
27815,backdoor,0x0c05aacc260d5ebfccdd9b06ab3633120cbe9676,backdoor3076,baiyu#2918,1,2023-09-03 00:32:51
34133,wa1t0n,0x6bd68d667eccea663b2a2bee1311f7ad6c817602,wa1t0n#2571,baiyu#2918,1,2023-09-03 03:56:12
39454,AshleyJin,0xaaf2f3a917e5ac907efd9c0f3fd752cc9d66dc08,,baiyu#2918,1,2023-09-03 04:37:21
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth,baiyu#2918,1,2023-09-03 04:46:26
34660,GGGrace,0x4d6654beec5942aee8e3102528a58fb34a0f1b19,gracegui43,baiyu#2918,1,2023-09-03 06:31:43
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,tovarishch.eth,baiyu#2918,1,2023-09-03 06:40:10
31713,SuanNai,0xb8abe31a6caf1217d632190559b2c1fd909178ec,hebucc,baiyu#2918,1,2023-09-03 07:15:20
36669,youngSeeDAO,0x3e2141d27c11da046e443c53441ed53b390cb15a,young.y,baiyu#2918,1,2023-09-03 09:57:08
39173,StephanAnn,0x4564d5a8bb409272f1fb4ae4c8b45fc0eafd709d,fooooobar,baiyu#2918,1,2023-09-03 16:28:49
