uid,name,address,discord_handle,option,weight,time
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,shawn7046,yes,1,2023-09-01 14:23:25
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,vincentzzh,yes,1,2023-09-01 16:55:49
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,coffee9999,yes,1,2023-09-01 18:44:22
39169,Frozen,0x82944b68bb92fa11764041aa61204b5fdc85f429,frozen#0085,yes,1,2023-09-01 18:57:34
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,owenzhang,yes,1,2023-09-02 02:38:27
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049,yes,1,2023-09-02 02:44:17
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,fivea.eth,yes,1,2023-09-02 03:10:57
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth,yes,1,2023-09-02 03:15:41
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,shot86,no,1,2023-09-02 03:18:07
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alexgiantwhale,yes,1,2023-09-02 03:59:02
30355,HotWolf,0xf3bf6bdfea27464840d53b07c33ea21c951d3746,hotwolf3778,yes,1,2023-09-02 06:01:09
35098,木南Lynna,0x7d53ba1d70a66d572a90e3e80ad4253769340ee7,munan_lynna,yes,1,2023-09-02 07:28:39
34967,neal,0x726d714b8b6e10b6e25dd7926c92656046d9861d,NEAL#1476,yes,1,2023-09-02 08:07:59
34713,一个阿车,0x796ac058028f19974a4f8256f6b30fedcc96537d,roujiamo.eth,no,1,2023-09-02 09:50:53
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,fatfingererr,yes,1,2023-09-02 09:56:18
36651,康师傅,0x4ed2f7eadd13cdc339b67f371610bf26224e4b98,jamk,no,1,2023-09-02 10:16:50
7270,baiyu,0x8c913aec7443fe2018639133398955e0e17fb0c1,baiyu ( SeeDAO Network )#2918,yes,1,2023-09-02 11:11:34
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,laowaipo,no,1,2023-09-02 12:01:17
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,queeny4247,no,1,2023-09-02 13:32:07
36602,江滚滚,0xfed714ab05fbbc6f964653616c0565033a4da0ef,,yes,1,2023-09-02 14:06:14
33081,PhilHuang,0xd8652a853f4ac24c797faa02e4633bd69ac9394d,Phil.Huang#9473,yes,1,2023-09-02 14:17:59
35019,Jialin,0x290aa5081d6298c181949946893876a1b76bf144,0xcjl.eth,yes,1,2023-09-02 14:23:44
34518,saku,0x45b5e0299401f38d7d18bdde102ae62cdff86429,sakusaku5627,yes,1,2023-09-02 14:40:31
33694,Hsiu,0x4ffb83a8344f33453fbebe5e126534407ceb32f5,jasonhsiu,yes,1,2023-09-02 15:40:19
34538,トゥン,0x0505e7fddf5a88a8a3743ac579cb6f33c181d4bb,006,yes,1,2023-09-02 17:14:33
