uid,name,address,discord_handle,option,weight,time
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth,yes,1,2023-09-03 06:01:31
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,vincentzzh,yes,1,2023-09-03 06:18:46
33694,Hsiu,0x4ffb83a8344f33453fbebe5e126534407ceb32f5,jasonhsiu,yes,1,2023-09-03 06:22:11
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis,no,1,2023-09-03 06:25:11
34660,GGGrace,0x4d6654beec5942aee8e3102528a58fb34a0f1b19,gracegui43,yes,1,2023-09-03 06:29:43
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,tovarishch.eth,yes,1,2023-09-03 06:35:33
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,coffee9999,yes,1,2023-09-03 06:36:47
36602,江滚滚,0xfed714ab05fbbc6f964653616c0565033a4da0ef,,yes,1,2023-09-03 06:37:02
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,fatfingererr,yes,1,2023-09-03 06:37:14
36669,youngSeeDAO,0x3e2141d27c11da046e443c53441ed53b390cb15a,young.y,yes,1,2023-09-03 06:37:49
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,shot86,yes,1,2023-09-03 06:53:48
36619,T1NG,0x47a7202a726324788609003549675f1dbc645b07,t1ng8435,yes,1,2023-09-03 06:55:48
34133,wa1t0n,0x6bd68d667eccea663b2a2bee1311f7ad6c817602,wa1t0n#2571,yes,1,2023-09-03 06:56:17
39169,Frozen,0x82944b68bb92fa11764041aa61204b5fdc85f429,frozen#0085,yes,1,2023-09-03 07:00:05
35748,Ines,0x18e0ff7c3a14cd4d7acbfad41016edf20257a02a,,yes,1,2023-09-03 07:03:33
7272,slothrun,0x78f625a65fc316d32d98d249b698fb509a6d98f2,Tang Han#8245,yes,1,2023-09-03 07:04:32
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049,yes,1,2023-09-03 07:10:44
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,queeny4247,yes,1,2023-09-03 07:15:05
31713,SuanNai,0xb8abe31a6caf1217d632190559b2c1fd909178ec,hebucc,yes,1,2023-09-03 07:16:02
