uid,name,address,discord_handle,option,weight,time
35019,Jialin,0x290aa5081d6298c181949946893876a1b76bf144,0xcjl.eth,Yes,1,2023-09-18 05:04:54
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,tovarishch.eth,Yes,1,2023-09-18 05:41:54
35566,littleone,0x913d7434a18f0ef40181b92a9603e0425ab0addf,xiaokong1,Yes,1,2023-09-18 05:51:12
37381,Forever121,0x332345477db00239f88ca2eb015b159750cf3c44,121812#2731,Yes,1,2023-09-18 05:56:55
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alexgiantwhale,弃权,1,2023-09-18 05:59:33
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,owenzhang,Yes,1,2023-09-18 06:01:12
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth,Yes,1,2023-09-18 06:52:12
39173,StephanAnn,0x4564d5a8bb409272f1fb4ae4c8b45fc0eafd709d,fooooobar,Yes,1,2023-09-18 07:00:39
35098,木南Lynna,0x7d53ba1d70a66d572a90e3e80ad4253769340ee7,munan_lynna,Yes,1,2023-09-18 07:42:24
33081,PhilHuang,0xd8652a853f4ac24c797faa02e4633bd69ac9394d,phil.huang,Yes,1,2023-09-18 10:21:18
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,shot86,弃权,1,2023-09-18 12:11:42
39171,Joannacool,0x9d6b1a15d476bfbbdf4274ef6b405086cd7258f9,.lunakk,Yes,1,2023-09-18 12:44:05
31713,SuanNai,0xb8abe31a6caf1217d632190559b2c1fd909178ec,hebucc,弃权,1,2023-09-19 02:46:50
7270,baiyu,0x8c913aec7443fe2018639133398955e0e17fb0c1,baiyuseedaonetwork,Yes,1,2023-09-19 07:16:36
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,shawn7046,Yes,1,2023-09-19 07:44:17
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,coffee9999,Yes,1,2023-09-19 09:06:29
7272,slothrun,0x78f625a65fc316d32d98d249b698fb509a6d98f2,Tang Han#8245,Yes,1,2023-09-19 12:11:43
27815,backdoor,0x0c05aacc260d5ebfccdd9b06ab3633120cbe9676,backdoor3076,Yes,1,2023-09-20 01:35:59
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,fivea.eth,Yes,1,2023-09-20 05:12:12
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,laowaipo,Yes,1,2023-09-20 08:04:55
36651,康师傅,0x4ed2f7eadd13cdc339b67f371610bf26224e4b98,jamk,Yes,1,2023-09-20 14:00:07
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049,弃权,1,2023-09-21 06:37:57
39170,wendyChaung,0xd85c413da833cebd8338138ccefa04979df70e8e,wendychaung,Yes,1,2023-09-21 14:16:34
36669,youngSeeDAO,0x3e2141d27c11da046e443c53441ed53b390cb15a,young.y,Yes,1,2023-09-21 14:33:50
34722,华虎林,0xbfd8cba6a1e10e1ab4fa11a0062f4e52e13d260f,huyilin,Yes,1,2023-09-21 16:40:05
35748,Ines,0x18e0ff7c3a14cd4d7acbfad41016edf20257a02a,ines.ssn545,Yes,1,2023-09-25 02:03:05
34713,一个阿车,0x796ac058028f19974a4f8256f6b30fedcc96537d,roujiamo.eth,弃权,1,2023-09-25 05:11:29
