uid,name,address,discord_handle,option,weight,time
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,owenzhang,同意,1,2023-10-09 01:34:40
35566,littleone,0x913d7434a18f0ef40181b92a9603e0425ab0addf,xiaokong1,同意,1,2023-10-09 02:28:01
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis,同意,1,2023-10-09 14:02:24
39169,Frozen,0x82944b68bb92fa11764041aa61204b5fdc85f429,0xfrozen,同意,1,2023-10-09 14:02:48
26408,lee.W,0xe02533f1b8bc4befd8561df63721a96936f978f9,lee0428,同意,1,2023-10-09 14:06:09
31713,SuanNai,0xb8abe31a6caf1217d632190559b2c1fd909178ec,hebucc,不同意,1,2023-10-09 14:07:42
34713,一个阿车,0x796ac058028f19974a4f8256f6b30fedcc96537d,roujiamo.eth,不同意,1,2023-10-09 14:31:23
36669,youngSeeDAO,0x3e2141d27c11da046e443c53441ed53b390cb15a,young.y,同意,1,2023-10-09 15:39:37
39171,Joannacool,0x9d6b1a15d476bfbbdf4274ef6b405086cd7258f9,.lunakk,不同意,1,2023-10-09 15:46:13
7270,baiyu,0x8c913aec7443fe2018639133398955e0e17fb0c1,baiyuseedaonetwork,同意,1,2023-10-09 15:59:34
35019,Jialin,0x290aa5081d6298c181949946893876a1b76bf144,0xcjl.eth,同意,1,2023-10-09 16:03:13
33694,Hsiu,0x4ffb83a8344f33453fbebe5e126534407ceb32f5,jasonhsiu,同意,1,2023-10-09 16:24:32
35748,Ines,0x18e0ff7c3a14cd4d7acbfad41016edf20257a02a,ines.ssn545,同意,1,2023-10-10 00:20:03
27779,Thomas.dh,0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,定慧 Thomas#3288,不同意,1,2023-10-10 00:25:06
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,vincentzzh,不同意,1,2023-10-10 00:40:08
35098,木南Lynna,0x7d53ba1d70a66d572a90e3e80ad4253769340ee7,munan_lynna,同意,1,2023-10-10 01:33:04
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alexgiantwhale,不同意,1,2023-10-10 02:45:02
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth,不同意,1,2023-10-10 02:51:41
36651,康师傅,0x4ed2f7eadd13cdc339b67f371610bf26224e4b98,jamk,同意,1,2023-10-10 04:46:57
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,coffee9999,同意,1,2023-10-10 06:29:37
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,tovarishch.eth,不同意,1,2023-10-10 06:59:16
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,fatfingererr,同意,1,2023-10-10 10:13:25
39173,StephanAnn,0x4564d5a8bb409272f1fb4ae4c8b45fc0eafd709d,fooooobar,同意,1,2023-10-11 00:38:38
33081,PhilHuang,0xd8652a853f4ac24c797faa02e4633bd69ac9394d,phil.huang,不同意,1,2023-10-11 13:21:24
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049,不同意,1,2023-10-12 09:56:08
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,shot86,不同意,1,2023-10-12 13:09:41
37381,Forever121,0x332345477db00239f88ca2eb015b159750cf3c44,121812#2731,同意,1,2023-10-12 16:07:23
