uid,name,address,discord_handle,option,weight,time
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049,Yes,1,2023-10-17 05:03:17
35098,木南Lynna,0x7d53ba1d70a66d572a90e3e80ad4253769340ee7,munan_lynna,Yes,1,2023-10-17 05:08:43
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth,Yes,1,2023-10-17 05:09:35
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alexgiantwhale,Yes,1,2023-10-17 05:12:02
35566,littleone,0x913d7434a18f0ef40181b92a9603e0425ab0addf,xiaokong1,No,1,2023-10-17 05:38:16
34713,一个阿车,0x796ac058028f19974a4f8256f6b30fedcc96537d,roujiamo.eth,Yes,1,2023-10-17 08:18:35
33081,PhilHuang,0xd8652a853f4ac24c797faa02e4633bd69ac9394d,phil.huang,Yes,1,2023-10-17 11:32:33
26408,lee.W,0xe02533f1b8bc4befd8561df63721a96936f978f9,lee0428,Yes,1,2023-10-17 11:40:02
39171,Joannacool,0x9d6b1a15d476bfbbdf4274ef6b405086cd7258f9,.lunakk,Yes,1,2023-10-17 16:18:43
7270,baiyu,0x8c913aec7443fe2018639133398955e0e17fb0c1,baiyuseedaonetwork,Yes,1,2023-10-17 17:15:38
36669,youngSeeDAO,0x3e2141d27c11da046e443c53441ed53b390cb15a,young.y,Yes,1,2023-10-19 15:06:08
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,shawn7046,Yes,1,2023-10-21 06:38:26
34459,jackfe,0x9fbde1512d2aeb2000866fa6f8a01e6bc80559e0,jackfe1304,Yes,1,2023-10-21 06:39:20
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,coffee9999,Yes,1,2023-10-21 08:07:56
34660,GGGrace,0x4d6654beec5942aee8e3102528a58fb34a0f1b19,gracegui43,Yes,1,2023-10-21 09:59:47
39173,StephanAnn,0x4564d5a8bb409272f1fb4ae4c8b45fc0eafd709d,fooooobar,No,1,2023-10-23 06:37:04
33694,Hsiu,0x4ffb83a8344f33453fbebe5e126534407ceb32f5,jasonhsiu,Yes,1,2023-10-23 14:25:56
