uid,name,address,discord_handle,option,weight,time
34713,一个阿车,0x796ac058028f19974a4f8256f6b30fedcc96537d,roujiamo.eth,100%,1,2023-12-01 05:41:52
35098,木南Lynna,0x7d53ba1d70a66d572a90e3e80ad4253769340ee7,munan_lynna,120%,1,2023-12-01 05:42:38
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alexgiantwhale,100%,1,2023-12-01 06:32:51
39175,xsseedao,0x41d2ce62cd81d9ccd5c6890dcb44267b26165f85,xiaosongfu,100%,1,2023-12-01 07:21:14
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,owenzhang,120%,1,2023-12-01 08:51:24
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049,100%,1,2023-12-01 09:39:32
36602,江滚滚,0xfed714ab05fbbc6f964653616c0565033a4da0ef,,100%,1,2023-12-01 09:58:47
39169,Frozen,0x82944b68bb92fa11764041aa61204b5fdc85f429,0xfrozen,100%,1,2023-12-01 10:17:35
39170,WCY,0xd85c413da833cebd8338138ccefa04979df70e8e,wendychaung,100%,1,2023-12-01 10:34:23
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,shot86,100%,1,2023-12-01 10:34:33
31713,SuanNai,0xb8abe31a6caf1217d632190559b2c1fd909178ec,hebucc,120%,1,2023-12-01 10:45:39
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,tovarishch.eth,100%,1,2023-12-01 12:10:19
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth,100%,1,2023-12-01 12:27:44
36651,康师傅,0x4ed2f7eadd13cdc339b67f371610bf26224e4b98,jamk,120%,1,2023-12-01 12:36:54
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,vincentzzh,100%,1,2023-12-01 13:07:10
39173,StephanAnn,0x4564d5a8bb409272f1fb4ae4c8b45fc0eafd709d,fooooobar,100%,1,2023-12-01 13:53:30
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis,100%,1,2023-12-01 14:14:52
35348,Arjun,0x89c60c01f2e1d1b233253596bf1c2386bdfeb898,arjun003,100%,1,2023-12-01 14:45:25
36669,youngSeeDAO,0x3e2141d27c11da046e443c53441ed53b390cb15a,young.y,100%,1,2023-12-01 14:47:36
34459,jackfe,0x9fbde1512d2aeb2000866fa6f8a01e6bc80559e0,jackfe1304,100%,1,2023-12-01 19:20:46
33694,Hsiu,0x4ffb83a8344f33453fbebe5e126534407ceb32f5,jasonhsiu,120%,1,2023-12-02 00:16:35
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,coffee9999,100%,1,2023-12-02 01:54:14
37343,古忆Stalla,0x902b13e46305e3ae10f70871c6d0bca9e5446b07,,120%,1,2023-12-02 06:13:01
36619,T1NG,0x47a7202a726324788609003549675f1dbc645b07,t1ng8435,100%,1,2023-12-02 07:17:46
34660,GGGrace,0x4d6654beec5942aee8e3102528a58fb34a0f1b19,gracegui43,120%,1,2023-12-02 07:18:09
7272,slothrun,0x78f625a65fc316d32d98d249b698fb509a6d98f2,Tang Han#8245,100%,1,2023-12-02 07:27:22
39171,Joannacool,0x9d6b1a15d476bfbbdf4274ef6b405086cd7258f9,.lunakk,100%,1,2023-12-02 09:38:31
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,queeny4247,100%,1,2023-12-02 11:04:24
7270,baiyu,0x8c913aec7443fe2018639133398955e0e17fb0c1,baiyuseedaonetwork,120%,1,2023-12-02 13:40:28
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,fivea.eth,100%,1,2023-12-02 13:49:43
35748,Ines,0x18e0ff7c3a14cd4d7acbfad41016edf20257a02a,ines.ssn545,100%,1,2023-12-02 13:56:54
35019,Jialin,0x290aa5081d6298c181949946893876a1b76bf144,0xcjl.eth,120%,1,2023-12-02 14:08:44
27815,backdoor,0x0c05aacc260d5ebfccdd9b06ab3633120cbe9676,backdoor3076,120%,1,2023-12-02 14:15:17
34133,wa1t0n,0x6bd68d667eccea663b2a2bee1311f7ad6c817602,wa1t0n#2571,100%,1,2023-12-03 12:17:40
35580,Seaborn,0xd47aec165d7469e266f650a049c973ec95c706f6,seaborn_lee,100%,1,2023-12-03 13:42:51
