uid,name,address,discord_handle,option,weight,time
36651,康师傅,0x4ed2f7eadd13cdc339b67f371610bf26224e4b98,jamk,Yes,1,2023-12-01 02:31:37
35098,木南Lynna,0x7d53ba1d70a66d572a90e3e80ad4253769340ee7,munan_lynna,Yes,1,2023-12-01 05:46:12
34713,一个阿车,0x796ac058028f19974a4f8256f6b30fedcc96537d,roujiamo.eth,Yes,1,2023-12-01 05:46:45
39175,xsseedao,0x41d2ce62cd81d9ccd5c6890dcb44267b26165f85,xiaosongfu,Yes,1,2023-12-01 07:24:26
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,owenzhang,Yes,1,2023-12-01 08:53:48
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049,Yes,1,2023-12-01 09:31:43
39170,WCY,0xd85c413da833cebd8338138ccefa04979df70e8e,wendychaung,Yes,1,2023-12-01 10:36:51
31713,SuanNai,0xb8abe31a6caf1217d632190559b2c1fd909178ec,hebucc,Yes,1,2023-12-01 10:44:18
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,shot86,Yes,1,2023-12-01 11:00:11
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,shawn7046,Yes,1,2023-12-01 12:09:24
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,coffee9999,Yes,1,2023-12-01 12:21:01
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,tovarishch.eth,Yes,1,2023-12-01 12:29:48
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth,Yes,1,2023-12-01 12:38:32
37381,Forever121,0x332345477db00239f88ca2eb015b159750cf3c44,121812#2731,No,1,2023-12-01 12:53:56
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alexgiantwhale,No,1,2023-12-01 13:25:22
35348,Arjun,0x89c60c01f2e1d1b233253596bf1c2386bdfeb898,arjun003,No,1,2023-12-01 13:49:23
39173,StephanAnn,0x4564d5a8bb409272f1fb4ae4c8b45fc0eafd709d,fooooobar,Yes,1,2023-12-01 13:56:28
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis,Yes,1,2023-12-01 14:10:12
34459,jackfe,0x9fbde1512d2aeb2000866fa6f8a01e6bc80559e0,jackfe1304,Yes,1,2023-12-01 19:18:44
33694,Hsiu,0x4ffb83a8344f33453fbebe5e126534407ceb32f5,jasonhsiu,Yes,1,2023-12-02 00:15:50
37343,古忆Stalla,0x902b13e46305e3ae10f70871c6d0bca9e5446b07,,Yes,1,2023-12-02 06:14:44
7272,slothrun,0x78f625a65fc316d32d98d249b698fb509a6d98f2,Tang Han#8245,Yes,1,2023-12-02 07:25:11
40973,jessicazhou,0x4a0e5c833cd6c38eac36ea5d83b9d38075ae64fd,jessicazhou.,No,1,2023-12-02 07:56:32
34660,GGGrace,0x4d6654beec5942aee8e3102528a58fb34a0f1b19,gracegui43,Yes,1,2023-12-02 08:41:36
36602,江滚滚,0xfed714ab05fbbc6f964653616c0565033a4da0ef,,Yes,1,2023-12-02 10:36:46
7270,baiyu,0x8c913aec7443fe2018639133398955e0e17fb0c1,baiyuseedaonetwork,Yes,1,2023-12-02 13:45:20
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,fivea.eth,No,1,2023-12-02 14:07:59
34133,wa1t0n,0x6bd68d667eccea663b2a2bee1311f7ad6c817602,wa1t0n#2571,Yes,1,2023-12-02 14:16:29
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,vincentzzh,Yes,1,2023-12-02 14:34:23
27815,backdoor,0x0c05aacc260d5ebfccdd9b06ab3633120cbe9676,backdoor3076,No,1,2023-12-02 15:37:42
35748,Ines,0x18e0ff7c3a14cd4d7acbfad41016edf20257a02a,ines.ssn545,No,1,2023-12-02 15:51:58
27935,HenryL,0x10ea167893cb51500ec829222e3d17a968feb650,lilei105,Yes,1,2023-12-03 01:04:39
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,queeny4247,No,1,2023-12-03 13:43:20
35580,Seaborn,0xd47aec165d7469e266f650a049c973ec95c706f6,seaborn_lee,Yes,1,2023-12-03 13:43:46
