uid,name,address,discord_handle,option,weight,time
34713,一个阿车,0x796ac058028f19974a4f8256f6b30fedcc96537d,roujiamo.eth,以上活跃度都门槛都过高了,1,2023-12-01 05:47:47
35098,木南Lynna,0x7d53ba1d70a66d572a90e3e80ad4253769340ee7,munan_lynna,以上活跃度都门槛都过高了,1,2023-12-01 05:50:11
39175,xsseedao,0x41d2ce62cd81d9ccd5c6890dcb44267b26165f85,xiaosongfu,8000,1,2023-12-01 07:25:21
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,owenzhang,8000,1,2023-12-01 08:55:01
36651,康师傅,0x4ed2f7eadd13cdc339b67f371610bf26224e4b98,jamk,8000,1,2023-12-01 08:59:54
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049,8000,1,2023-12-01 09:32:51
39170,WCY,0xd85c413da833cebd8338138ccefa04979df70e8e,wendychaung,以上活跃度都门槛都过高了,1,2023-12-01 10:36:19
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,shot86,以上活跃度都门槛都过高了,1,2023-12-01 10:36:42
31713,SuanNai,0xb8abe31a6caf1217d632190559b2c1fd909178ec,hebucc,以上活跃度都门槛都过高了,1,2023-12-01 10:44:08
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,shawn7046,10000,1,2023-12-01 12:09:08
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,tovarishch.eth,8000,1,2023-12-01 12:32:26
37381,Forever121,0x332345477db00239f88ca2eb015b159750cf3c44,121812#2731,8000,1,2023-12-01 13:09:54
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,vincentzzh,8000,1,2023-12-01 13:21:53
39173,StephanAnn,0x4564d5a8bb409272f1fb4ae4c8b45fc0eafd709d,fooooobar,以上活跃度都门槛都过高了,1,2023-12-01 13:56:48
27779,Thomas.dh,0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,定慧 Thomas#3288,以上活跃度都门槛都过高了,1,2023-12-01 14:08:43
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis,以上活跃度都门槛都过高了,1,2023-12-01 14:12:15
35019,Jialin,0x290aa5081d6298c181949946893876a1b76bf144,0xcjl.eth,以上活跃度都门槛都过高了,1,2023-12-01 14:18:47
35348,Arjun,0x89c60c01f2e1d1b233253596bf1c2386bdfeb898,arjun003,8000,1,2023-12-01 14:43:19
36669,youngSeeDAO,0x3e2141d27c11da046e443c53441ed53b390cb15a,young.y,以上活跃度都门槛都过高了,1,2023-12-01 14:43:54
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth,8000,1,2023-12-01 14:49:46
34459,jackfe,0x9fbde1512d2aeb2000866fa6f8a01e6bc80559e0,jackfe1304,8000,1,2023-12-01 19:18:14
33694,Hsiu,0x4ffb83a8344f33453fbebe5e126534407ceb32f5,jasonhsiu,以上活跃度都门槛都过高了,1,2023-12-02 00:17:35
34660,GGGrace,0x4d6654beec5942aee8e3102528a58fb34a0f1b19,gracegui43,8000,1,2023-12-02 06:33:05
7272,slothrun,0x78f625a65fc316d32d98d249b698fb509a6d98f2,Tang Han#8245,8000,1,2023-12-02 07:26:49
39030,冯光能,0x3b75b768dd0dc2f71ac0bca8713ed5e9c82cfcce,forgetfulepimetheus,8000,1,2023-12-02 08:00:32
7270,baiyu,0x8c913aec7443fe2018639133398955e0e17fb0c1,baiyuseedaonetwork,8000,1,2023-12-02 08:02:09
36602,江滚滚,0xfed714ab05fbbc6f964653616c0565033a4da0ef,,以上活跃度都门槛都过高了,1,2023-12-02 10:38:41
40894,biao,0xc70025f24be879be9258ac41932bae873bf7ff0a,qu_zi,以上活跃度都门槛都过高了,1,2023-12-02 11:07:13
34133,wa1t0n,0x6bd68d667eccea663b2a2bee1311f7ad6c817602,wa1t0n#2571,8000,1,2023-12-02 14:15:47
27815,backdoor,0x0c05aacc260d5ebfccdd9b06ab3633120cbe9676,backdoor3076,以上活跃度都门槛都过高了,1,2023-12-02 15:39:15
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,coffee9999,8000,1,2023-12-02 15:51:39
35748,Ines,0x18e0ff7c3a14cd4d7acbfad41016edf20257a02a,ines.ssn545,以上活跃度都门槛都过高了,1,2023-12-02 15:54:31
37343,古忆Stalla,0x902b13e46305e3ae10f70871c6d0bca9e5446b07,,8000,1,2023-12-02 23:30:31
27935,HenryL,0x10ea167893cb51500ec829222e3d17a968feb650,lilei105,10000,1,2023-12-03 01:05:51
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alexgiantwhale,8000,1,2023-12-03 01:25:22
39169,Frozen,0x82944b68bb92fa11764041aa61204b5fdc85f429,0xfrozen,8000,1,2023-12-03 06:47:19
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,queeny4247,以上活跃度都门槛都过高了,1,2023-12-03 11:50:22
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,fivea.eth,8000,1,2023-12-03 12:24:22
35580,Seaborn,0xd47aec165d7469e266f650a049c973ec95c706f6,seaborn_lee,10000,1,2023-12-03 13:45:44
