uid,name,address,discord_handle,option,weight,time
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth,Yes,1,2023-12-01 02:49:21
34713,一个阿车,0x796ac058028f19974a4f8256f6b30fedcc96537d,roujiamo.eth,Yes,1,2023-12-01 05:48:54
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alexgiantwhale,Yes,1,2023-12-01 06:36:44
33694,Hsiu,0x4ffb83a8344f33453fbebe5e126534407ceb32f5,jasonhsiu,Yes,1,2023-12-01 09:09:02
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,queeny4247,Yes,1,2023-12-01 09:25:51
37394,Darcy,0x3caee6446cbbb73569ac230939b4310dea505fa9,darcy9199,Yes,1,2023-12-01 09:50:51
36619,T1NG,0x47a7202a726324788609003549675f1dbc645b07,t1ng8435,Yes,1,2023-12-01 10:00:58
39169,Frozen,0x82944b68bb92fa11764041aa61204b5fdc85f429,0xfrozen,No,1,2023-12-01 10:52:04
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,shot86,Yes,1,2023-12-01 11:06:01
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,shawn7046,No,1,2023-12-01 12:08:06
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,vincentzzh,Yes,1,2023-12-01 13:09:02
35348,Arjun,0x89c60c01f2e1d1b233253596bf1c2386bdfeb898,arjun003,Yes,1,2023-12-01 13:29:39
37381,Forever121,0x332345477db00239f88ca2eb015b159750cf3c44,121812#2731,Yes,1,2023-12-01 13:35:15
39173,StephanAnn,0x4564d5a8bb409272f1fb4ae4c8b45fc0eafd709d,fooooobar,No,1,2023-12-01 13:56:01
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis,Yes,1,2023-12-01 14:08:04
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,coffee9999,Yes,1,2023-12-01 14:45:28
39454,AshleyJin,0xaaf2f3a917e5ac907efd9c0f3fd752cc9d66dc08,ashleyjin,Yes,1,2023-12-01 15:07:56
34518,saku,0x45b5e0299401f38d7d18bdde102ae62cdff86429,sakusaku5627,Yes,1,2023-12-01 17:00:48
7272,slothrun,0x78f625a65fc316d32d98d249b698fb509a6d98f2,Tang Han#8245,No,1,2023-12-02 07:24:49
7270,baiyu,0x8c913aec7443fe2018639133398955e0e17fb0c1,baiyuseedaonetwork,No,1,2023-12-02 08:11:39
34660,GGGrace,0x4d6654beec5942aee8e3102528a58fb34a0f1b19,gracegui43,No,1,2023-12-02 08:31:37
39170,WCY,0xd85c413da833cebd8338138ccefa04979df70e8e,wendychaung,No,1,2023-12-02 13:23:31
27815,backdoor,0x0c05aacc260d5ebfccdd9b06ab3633120cbe9676,backdoor3076,Yes,1,2023-12-02 13:58:22
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,fivea.eth,Yes,1,2023-12-02 14:17:13
27779,Thomas.dh,0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,定慧 Thomas#3288,No,1,2023-12-02 16:38:43
27935,HenryL,0x10ea167893cb51500ec829222e3d17a968feb650,lilei105,Yes,1,2023-12-03 01:11:34
38598,TonyWang,0x4B162DBa01943Bd8CD8af668bE72fB769999aC83,jlzxwt8,No,1,2023-12-03 02:29:58
35748,Ines,0x18e0ff7c3a14cd4d7acbfad41016edf20257a02a,ines.ssn545,No,1,2023-12-03 02:54:16
39171,Joannacool,0x9d6b1a15d476bfbbdf4274ef6b405086cd7258f9,.lunakk,No,1,2023-12-03 03:34:22
39175,xsseedao,0x41d2ce62cd81d9ccd5c6890dcb44267b26165f85,xiaosongfu,No,1,2023-12-03 03:35:08
36651,康师傅,0x4ed2f7eadd13cdc339b67f371610bf26224e4b98,jamk,No,1,2023-12-03 03:49:38
40973,jessicazhou,0x4a0e5c833cd6c38eac36ea5d83b9d38075ae64fd,jessicazhou.,Yes,1,2023-12-03 06:37:33
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,owenzhang,Yes,1,2023-12-03 09:01:09
40894,biao,0xc70025f24be879be9258ac41932bae873bf7ff0a,qu_zi,Yes,1,2023-12-03 09:26:14
38184,Welten,0xfde65ea7a7af9b4fecd585db65e0b0394a2a55a7,msnpeer,Yes,1,2023-12-03 10:07:36
35019,Jialin,0x290aa5081d6298c181949946893876a1b76bf144,0xcjl.eth,Yes,1,2023-12-03 10:12:54
36602,江滚滚,0xfed714ab05fbbc6f964653616c0565033a4da0ef,,Yes,1,2023-12-03 11:54:22
35580,Seaborn,0xd47aec165d7469e266f650a049c973ec95c706f6,seaborn_lee,Yes,1,2023-12-03 13:41:28
