uid,name,address,discord_handle,option,weight,time
31713,SuanNai,0xb8abe31a6caf1217d632190559b2c1fd909178ec,hebucc,Yes,1,2023-12-01 02:47:38
34713,一个阿车,0x796ac058028f19974a4f8256f6b30fedcc96537d,roujiamo.eth,Yes,1,2023-12-01 05:49:23
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alexgiantwhale,Yes,1,2023-12-01 06:37:02
39175,xsseedao,0x41d2ce62cd81d9ccd5c6890dcb44267b26165f85,xiaosongfu,Yes,1,2023-12-01 07:31:09
36651,康师傅,0x4ed2f7eadd13cdc339b67f371610bf26224e4b98,jamk,Yes,1,2023-12-01 08:58:10
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,owenzhang,Yes,1,2023-12-01 08:58:31
35098,木南Lynna,0x7d53ba1d70a66d572a90e3e80ad4253769340ee7,munan_lynna,Yes,1,2023-12-01 09:19:46
39170,WCY,0xd85c413da833cebd8338138ccefa04979df70e8e,wendychaung,Yes,1,2023-12-01 10:36:37
39169,Frozen,0x82944b68bb92fa11764041aa61204b5fdc85f429,0xfrozen,Yes,1,2023-12-01 10:54:18
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,shot86,Yes,1,2023-12-01 11:08:45
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,shawn7046,Yes,1,2023-12-01 12:07:52
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,tovarishch.eth,Yes,1,2023-12-01 12:40:06
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth,Yes,1,2023-12-01 12:46:55
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,vincentzzh,Yes,1,2023-12-01 13:18:28
39173,StephanAnn,0x4564d5a8bb409272f1fb4ae4c8b45fc0eafd709d,fooooobar,Yes,1,2023-12-01 13:54:11
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis,Yes,1,2023-12-01 14:18:29
35348,Arjun,0x89c60c01f2e1d1b233253596bf1c2386bdfeb898,arjun003,No,1,2023-12-01 14:52:10
36669,youngSeeDAO,0x3e2141d27c11da046e443c53441ed53b390cb15a,young.y,Yes,1,2023-12-01 14:54:34
27779,Thomas.dh,0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,定慧 Thomas#3288,Yes,1,2023-12-01 14:55:46
35748,Ines,0x18e0ff7c3a14cd4d7acbfad41016edf20257a02a,ines.ssn545,Yes,1,2023-12-01 16:46:57
34459,jackfe,0x9fbde1512d2aeb2000866fa6f8a01e6bc80559e0,jackfe1304,Yes,1,2023-12-01 19:21:45
33694,Hsiu,0x4ffb83a8344f33453fbebe5e126534407ceb32f5,jasonhsiu,Yes,1,2023-12-02 00:15:09
37343,古忆Stalla,0x902b13e46305e3ae10f70871c6d0bca9e5446b07,,Yes,1,2023-12-02 06:17:15
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049,Yes,1,2023-12-02 06:18:04
34660,GGGrace,0x4d6654beec5942aee8e3102528a58fb34a0f1b19,gracegui43,Yes,1,2023-12-02 07:12:40
7272,slothrun,0x78f625a65fc316d32d98d249b698fb509a6d98f2,Tang Han#8245,Yes,1,2023-12-02 07:24:38
39171,Joannacool,0x9d6b1a15d476bfbbdf4274ef6b405086cd7258f9,.lunakk,Yes,1,2023-12-02 09:41:56
36602,江滚滚,0xfed714ab05fbbc6f964653616c0565033a4da0ef,,Yes,1,2023-12-02 10:51:42
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,fivea.eth,Yes,1,2023-12-02 14:18:15
34133,wa1t0n,0x6bd68d667eccea663b2a2bee1311f7ad6c817602,wa1t0n#2571,Yes,1,2023-12-02 14:18:20
35019,Jialin,0x290aa5081d6298c181949946893876a1b76bf144,0xcjl.eth,Yes,1,2023-12-02 14:43:10
27815,backdoor,0x0c05aacc260d5ebfccdd9b06ab3633120cbe9676,backdoor3076,Yes,1,2023-12-02 15:40:20
36619,T1NG,0x47a7202a726324788609003549675f1dbc645b07,t1ng8435,Yes,1,2023-12-02 15:45:39
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,coffee9999,Yes,1,2023-12-02 15:48:32
