uid,name,address,discord_handle,option,weight,time
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,queeny4247,方案 2,1,2024-01-05 00:00:59
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,shot86,方案 1,1,2024-01-05 00:18:05
31713,SuanNai,0xb8abe31a6caf1217d632190559b2c1fd909178ec,hebucc,两个都不同意（请把建议留在评论区）,1,2024-01-05 01:54:02
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,vincentzzh,两个都不同意（请把建议留在评论区）,1,2024-01-05 02:19:36
35019,Jialin,0x290aa5081d6298c181949946893876a1b76bf144,0xcjl.eth,方案 2,1,2024-01-05 02:32:38
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049,方案 1,1,2024-01-05 02:35:46
36651,康师傅,0x4ed2f7eadd13cdc339b67f371610bf26224e4b98,jamk,方案 1,1,2024-01-05 02:37:29
35348,Arjun,0x89c60c01f2e1d1b233253596bf1c2386bdfeb898,arjun003,两个都不同意（请把建议留在评论区）,1,2024-01-05 02:37:29
34713,一个阿车,0x796ac058028f19974a4f8256f6b30fedcc96537d,roujiamo.eth,两个都不同意（请把建议留在评论区）,1,2024-01-05 02:55:18
27779,Thomas.dh,0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,nirvana.dinghui,两个都不同意（请把建议留在评论区）,1,2024-01-05 03:01:27
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,fivea.eth,两个都不同意（请把建议留在评论区）,1,2024-01-05 03:04:00
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,owenzhang,方案 2,1,2024-01-05 03:23:48
37381,Forever121,0x332345477db00239f88ca2eb015b159750cf3c44,forever_121,两个都不同意（请把建议留在评论区）,1,2024-01-05 04:52:19
27935,HenryL,0x10ea167893cb51500ec829222e3d17a968feb650,lilei105,两个都不同意（请把建议留在评论区）,1,2024-01-05 09:03:21
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,tovarishch.eth,两个都不同意（请把建议留在评论区）,1,2024-01-05 09:25:56
34459,jackfe,0x9fbde1512d2aeb2000866fa6f8a01e6bc80559e0,jackfe1304,两个都不同意（请把建议留在评论区）,1,2024-01-05 10:43:05
33694,Hsiu,0x4ffb83a8344f33453fbebe5e126534407ceb32f5,jasonhsiu,两个都不同意（请把建议留在评论区）,1,2024-01-06 17:41:17
