uid,name,address,discord_handle,option,weight,time
35098,木南Lynna,0x7d53ba1d70a66d572a90e3e80ad4253769340ee7,munan_lynna,补偿损失金额100%的SeeDAO积分。,1,2024-01-16 06:26:33
35580,Seaborn,0xd47aec165d7469e266f650a049c973ec95c706f6,seaborn_lee,补偿损失金额50%的SeeDAO积分。,1,2024-01-16 06:28:27
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,shot86,补偿损失金额50%的SeeDAO积分。,1,2024-01-16 06:30:41
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049,补偿损失金额50%的U。,1,2024-01-16 06:34:17
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis,补偿损失金额100%的SeeDAO积分。,1,2024-01-16 06:37:26
36619,T1NG,0x47a7202a726324788609003549675f1dbc645b07,t1ng8435,补偿损失金额50%的U。,1,2024-01-16 06:51:08
35748,Ines,0x18e0ff7c3a14cd4d7acbfad41016edf20257a02a,,补偿损失金额100%的U。,1,2024-01-16 06:52:08
31713,SuanNai,0xb8abe31a6caf1217d632190559b2c1fd909178ec,hebucc,补偿损失金额50%的U。,1,2024-01-16 06:54:35
39170,WCY,0xd85c413da833cebd8338138ccefa04979df70e8e,wendychaung,建议不给予赔偿。,1,2024-01-16 07:22:18
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,owenzhang,补偿损失金额50%的SeeDAO积分。,1,2024-01-16 07:53:45
35061,zhoumo,0x2b40590f525b4f552b0efb85333877b4a0769400,zhoumo_828,补偿损失金额50%的U。,1,2024-01-16 07:58:55
39175,xsseedao,0x41d2ce62cd81d9ccd5c6890dcb44267b26165f85,xiaosongfu,补偿损失金额50%的U。,1,2024-01-16 08:00:17
40894,biao,0xc70025f24be879be9258ac41932bae873bf7ff0a,qu_zi,补偿损失金额50%的U。,1,2024-01-16 08:14:41
39173,StephanAnn,0x4564d5a8bb409272f1fb4ae4c8b45fc0eafd709d,fooooobar,建议不给予赔偿。,1,2024-01-16 15:08:38
34459,jackfe,0x9fbde1512d2aeb2000866fa6f8a01e6bc80559e0,jackfe1304,补偿损失金额100%的SeeDAO积分。,1,2024-01-16 16:08:49
36669,youngSeeDAO,0x3e2141d27c11da046e443c53441ed53b390cb15a,young.y,补偿损失金额50%的SeeDAO积分。,1,2024-01-16 16:11:34
37343,古忆Stalla,0x902b13e46305e3ae10f70871c6d0bca9e5446b07,,补偿损失金额50%的SeeDAO积分。,1,2024-01-16 16:17:26
39171,Joannacool,0x9d6b1a15d476bfbbdf4274ef6b405086cd7258f9,.lunakk,建议不给予赔偿。,1,2024-01-16 16:36:26
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,coffee9999,补偿损失金额50%的SeeDAO积分。,1,2024-01-16 17:24:04
36651,康师傅,0x4ed2f7eadd13cdc339b67f371610bf26224e4b98,jamk,补偿损失金额50%的SeeDAO积分。,1,2024-01-16 23:27:01
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,vincentzzh,补偿损失金额50%的SeeDAO积分。,1,2024-01-17 04:09:14
27779,Thomas.dh,0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,nirvana.dinghui,补偿损失金额50%的U。,1,2024-01-17 09:01:19
37381,Forever121,0x332345477db00239f88ca2eb015b159750cf3c44,forever_121,补偿损失金额50%的U。,1,2024-01-17 09:16:34
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alexgiantwhale,建议不给予赔偿。,1,2024-01-17 09:31:13
39454,AshleyJin,0xaaf2f3a917e5ac907efd9c0f3fd752cc9d66dc08,ashleyjin,建议不给予赔偿。,1,2024-01-18 04:14:31
35019,Jialin,0x290aa5081d6298c181949946893876a1b76bf144,0xcjl.eth,补偿损失金额50%的SeeDAO积分。,1,2024-01-18 04:50:17
40973,jessicazhou,0x4a0e5c833cd6c38eac36ea5d83b9d38075ae64fd,jessicazhou.,补偿损失金额100%的U。,1,2024-01-18 05:03:10
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,fivea.eth,补偿损失金额50%的U。,1,2024-01-18 09:57:09
39169,Frozen,0x82944b68bb92fa11764041aa61204b5fdc85f429,0xfrozen,建议不给予赔偿。,1,2024-01-18 11:11:24
