uid,name,address,discord_handle,option,weight,time
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,owenzhang,补偿损失金额50%的SeeDAO积分。,1,2024-01-19 08:08:35
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,shot86,补偿损失金额50%的SeeDAO积分。,1,2024-01-19 10:00:06
37381,Forever121,0x332345477db00239f88ca2eb015b159750cf3c44,forever_121,补偿损失金额50%的U。,1,2024-01-19 12:01:42
34459,jackfe,0x9fbde1512d2aeb2000866fa6f8a01e6bc80559e0,jackfe1304,补偿损失金额50%的SeeDAO积分。,1,2024-01-19 15:43:34
36619,T1NG,0x47a7202a726324788609003549675f1dbc645b07,t1ng8435,补偿损失金额50%的U。,1,2024-01-20 12:20:28
35748,Ines,0x18e0ff7c3a14cd4d7acbfad41016edf20257a02a,,补偿损失金额50%的SeeDAO积分。,1,2024-01-21 02:10:10
39173,StephanAnn,0x4564d5a8bb409272f1fb4ae4c8b45fc0eafd709d,fooooobar,补偿损失金额50%的U。,1,2024-01-21 02:14:30
40973,jessicazhou,0x4a0e5c833cd6c38eac36ea5d83b9d38075ae64fd,jessicazhou.,补偿损失金额50%的U。,1,2024-01-21 02:17:16
36651,康师傅,0x4ed2f7eadd13cdc339b67f371610bf26224e4b98,jamk,补偿损失金额50%的SeeDAO积分。,1,2024-01-21 02:17:34
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049,补偿损失金额50%的SeeDAO积分。,1,2024-01-21 04:48:18
37343,古忆Stalla,0x902b13e46305e3ae10f70871c6d0bca9e5446b07,,补偿损失金额50%的SeeDAO积分。,1,2024-01-21 05:56:33
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,coffee9999,补偿损失金额50%的SeeDAO积分。,1,2024-01-21 07:36:42
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,queeny4247,补偿损失金额50%的SeeDAO积分。,1,2024-01-21 14:22:44
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis,补偿损失金额50%的SeeDAO积分。,1,2024-01-21 14:30:10
35098,木南Lynna,0x7d53ba1d70a66d572a90e3e80ad4253769340ee7,munan_lynna,补偿损失金额50%的SeeDAO积分。,1,2024-01-21 14:36:54
35019,Jialin,0x290aa5081d6298c181949946893876a1b76bf144,0xjialin,补偿损失金额50%的SeeDAO积分。,1,2024-01-21 14:38:58
35580,Seaborn,0xd47aec165d7469e266f650a049c973ec95c706f6,seaborn_lee,补偿损失金额50%的U。,1,2024-01-21 14:44:32
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,tovarishch.eth,补偿损失金额50%的SeeDAO积分。,1,2024-01-21 15:38:34
