uid,name,address,discord_handle,option,weight,time
9106,AlanWei,0xc341683d1ee57b13ab90a1fc00f38dc6f7afdd14,akounomamajia#0,9545,1,0
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,shawn7046#0,9545,1,0
27779,Thomas.dh,0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,nirvana.dinghui#0,9547,1,0
29609,pm3,0x52ff0010d4058bb726725ad76f542c53033d67a1,defi3#0,9545,1,0
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,lizi2049#0,9545,1,0
33694,Hsiu,0x4ffb83a8344f33453fbebe5e126534407ceb32f5,jasonhsiu#0,9545,1,0
34459,jackfe,0x9fbde1512d2aeb2000866fa6f8a01e6bc80559e0,jackfe1304#0,9547,1,0
35019,Jialin,0x290aa5081d6298c181949946893876a1b76bf144,0xjialin#0,9545,1,0
35098,木南Lynna,0x7d53ba1d70a66d572a90e3e80ad4253769340ee7,munan88052#0,9545,1,0
35348,Arjun,0x89c60c01f2e1d1b233253596bf1c2386bdfeb898,arjun003#0,9545,1,0
35541,Nechi,0x1b76b011c0a1e03896bfc8923be228e430bb9049,nechi5450#0,9547,1,0
36619,T1NG,0x47a7202a726324788609003549675f1dbc645b07,t1ng8435#0,9545,1,0
38537,WenQian,0x5b228fcb60a95f7e749e00c4b88154fc17e706dd,wenqian2020#0,9545,1,0
39030,Epimetheus,0x3b75b768dd0dc2f71ac0bca8713ed5e9c82cfcce,forgetfulepimetheus#0,9547,1,0
